date,nav,cash,num_positions
2023-01-03,99901.44239999999,1343.8424000000027,15
2023-01-04,99991.27240000002,1343.8424000000027,15
2023-01-05,100142.9318,5060.721800000003,14
2023-01-06,99955.92257,1013.9625699999967,12
2023-01-09,101887.42257000001,1013.9625699999967,12
2023-01-10,100474.99257000002,1013.9625699999967,12
2023-01-11,101662.23257000001,1013.9625699999967,12
2023-01-12,101551.78256999998,1013.9625699999967,12
2023-01-13,101786.18257,1013.9625699999967,12
2023-01-17,102450.34257000001,1013.9625699999967,12
2023-01-18,101840.45257000001,1013.9625699999967,12
2023-01-19,100161.00257000001,1013.9625699999967,12
2023-01-20,99714.54943,934.9194299999917,12
2023-01-23,101209.79943,934.9194299999917,12
2023-01-24,102205.19943,934.9194299999917,12
2023-01-25,102257.96942999998,934.9194299999917,12
2023-01-26,102790.85943,934.9194299999917,12
2023-01-27,103447.28943,934.9194299999917,12
2023-01-30,102816.28942999999,934.9194299999917,12
2023-01-31,101788.43942999998,934.9194299999917,12
2023-02-01,102324.74942999998,934.9194299999917,12
2023-02-02,104677.67942999999,934.9194299999917,12
2023-02-03,104111.36717000001,569.9471699999922,9
2023-02-06,103020.42716999998,569.9471699999922,9
2023-02-07,101589.70717000001,569.9471699999922,9
2023-02-08,101823.76717,569.9471699999922,9
2023-02-09,100464.19717,569.9471699999922,9
2023-02-10,99411.86716999998,569.9471699999922,9
2023-02-13,99622.31717,569.9471699999922,9
2023-02-14,101146.97716999997,569.9471699999922,9
2023-02-15,100940.93717000002,569.9471699999922,9
2023-02-16,102132.99716999999,569.9471699999922,9
2023-02-17,100771.27648000001,1036.256479999999,14
2023-02-21,100243.84648,1036.256479999999,14
2023-02-22,98440.45936000001,4260.149359999999,13
2023-02-23,98049.39936,4260.149359999999,13
2023-02-24,98320.33936000001,4260.149359999999,13
2023-02-27,97834.84639,7649.72639,12
2023-02-28,98165.79638999999,7649.72639,12
2023-03-01,98213.85638999999,7649.72639,12
2023-03-02,97871.39639,7649.72639,12
2023-03-03,98071.58002000002,1197.5300200000056,13
2023-03-06,100164.67002,1197.5300200000056,13
2023-03-07,99792.18002000001,1197.5300200000056,13
2023-03-08,98250.37002,1197.5300200000056,13
2023-03-09,98741.00002000002,1197.5300200000056,13
2023-03-10,96764.69248,11744.512480000007,12
2023-03-13,94679.58919000001,18321.219190000007,11
2023-03-14,94370.15191,27139.671910000005,10
2023-03-15,95810.60191000001,27139.671910000005,10
2023-03-16,94257.64133000001,35731.65133000001,9
2023-03-17,95236.91616000002,755.5261600000208,11
2023-03-20,94279.40616000004,755.5261600000208,11
2023-03-21,94841.73616000001,755.5261600000208,11
2023-03-22,95369.01616000003,755.5261600000208,11
2023-03-23,94384.35616000001,755.5261600000208,11
2023-03-24,96003.57616000003,755.5261600000208,11
2023-03-27,95192.36616000002,755.5261600000208,11
2023-03-28,94885.67616000003,755.5261600000208,11
2023-03-29,94449.72616000002,755.5261600000208,11
2023-03-30,96162.94616000002,755.5261600000208,11
2023-03-31,97119.83440000002,476.8244000000295,11
