date,nav,cash,num_positions
2023-01-03,99901.44239999999,1343.8424000000027,15
2023-01-04,99991.27240000002,1343.8424000000027,15
2023-01-05,100142.9318,5060.721800000003,14
2023-01-06,99955.92257,1013.962570000004,12
2023-01-09,101887.42257000001,1013.962570000004,12
2023-01-10,100474.99257000002,1013.962570000004,12
2023-01-11,101662.23257000001,1013.962570000004,12
2023-01-12,101551.78256999998,1013.962570000004,12
2023-01-13,101677.63931,1257.0793099999999,13
2023-01-17,102357.49931,1257.0793099999999,13
2023-01-18,101877.17930999999,1257.0793099999999,13
2023-01-19,100302.11931,1257.0793099999999,13
2023-01-20,98982.53117000002,602.8011700000031,12
2023-01-23,100472.12117,602.8011700000031,12
2023-01-24,101464.04117,602.8011700000031,12
2023-01-25,101512.83117,602.8011700000031,12
2023-01-26,102041.54117000001,602.8011700000031,12
2023-01-27,102565.89469,959.8146899999953,10
2023-01-30,101184.47469,959.8146899999953,10
2023-01-31,99683.54645,7931.076449999996,9
2023-02-01,100075.89645,7931.076449999996,9
2023-02-02,100793.94300999999,17175.26301,8
2023-02-03,100332.35058999999,708.9305899999963,9
2023-02-06,99284.89059,708.9305899999963,9
2023-02-07,97911.48058999999,708.9305899999963,9
2023-02-08,98139.26058999999,708.9305899999963,9
2023-02-09,96830.97059000001,708.9305899999963,9
2023-02-10,95650.27797000001,622.5179699999958,12
2023-02-13,94869.85797000001,622.5179699999958,12
2023-02-14,96565.12797,622.5179699999958,12
2023-02-15,96867.40796999999,622.5179699999958,12
2023-02-16,97248.35797000001,622.5179699999958,12
2023-02-17,96095.43755999999,770.2475600000062,14
2023-02-21,95589.82755999999,770.2475600000062,14
2023-02-22,93870.11755999998,770.2475600000062,14
2023-02-23,93472.69756,770.2475600000062,14
2023-02-24,93734.46096000001,831.3009600000178,13
2023-02-27,93382.78096000003,831.3009600000178,13
2023-02-28,93504.53096,831.3009600000178,13
2023-03-01,93339.30096000002,831.3009600000178,13
2023-03-02,93174.71096000004,831.3009600000178,13
2023-03-03,93438.79365,851.1036500000248,13
2023-03-06,95443.14365000004,851.1036500000248,13
2023-03-07,95086.24365,851.1036500000248,13
2023-03-08,93610.40365000002,851.1036500000248,13
2023-03-09,94072.67495000004,5355.294950000025,12
2023-03-10,92174.45888000002,92174.45888000002,0
2023-03-13,92174.45888000002,92174.45888000002,0
2023-03-14,92174.45888000002,92174.45888000002,0
2023-03-15,92174.45888000002,92174.45888000002,0
2023-03-16,92174.45888000002,92174.45888000002,0
2023-03-17,92083.08623000002,710.4362300000266,11
2023-03-20,91156.23623000002,710.4362300000266,11
2023-03-21,91700.04623000002,710.4362300000266,11
2023-03-22,92209.68623000002,710.4362300000266,11
2023-03-23,91257.80623,710.4362300000266,11
2023-03-24,92761.93987000003,838.0498700000312,11
2023-03-27,91799.92987000004,838.0498700000312,11
2023-03-28,91653.83987000004,838.0498700000312,11
2023-03-29,91047.38987000004,838.0498700000312,11
2023-03-30,93038.52987000004,838.0498700000312,11
2023-03-31,93702.90008000004,899.7300800000421,11
