date,nav,cash,num_positions
2023-01-03,99901.44239999999,1343.8424000000027,15
2023-01-04,99991.27240000002,1343.8424000000027,15
2023-01-05,100142.9318,5060.721800000003,14
2023-01-06,99955.92257,1013.9625699999967,12
2023-01-09,101887.42257000001,1013.9625699999967,12
2023-01-10,100474.99257000002,1013.9625699999967,12
2023-01-11,101662.23257000001,1013.9625699999967,12
2023-01-12,101551.78256999998,1013.9625699999967,12
2023-01-13,101786.18257,1013.9625699999967,12
2023-01-17,102450.34257000001,1013.9625699999967,12
2023-01-18,101840.45257000001,1013.9625699999967,12
2023-01-19,100161.00257000001,1013.9625699999967,12
2023-01-20,99785.03257,1013.9625699999967,12
2023-01-23,100781.65256999999,1013.9625699999967,12
2023-01-24,101549.10482000001,17455.25482,10
2023-01-25,101670.22482000002,17455.25482,10
2023-01-26,101974.81482,17455.25482,10
2023-01-27,102188.90482,17455.25482,10
2023-01-30,101932.29482,17455.25482,10
2023-01-31,101272.72191000001,27947.66191,9
2023-02-01,101467.49191,27947.66191,9
2023-02-02,102954.52190999998,27947.66191,9
2023-02-03,102391.90119000002,1505.981190000005,9
2023-02-06,101333.30119000001,1505.981190000005,9
2023-02-07,99945.57119000002,1505.981190000005,9
2023-02-08,100178.82119000002,1505.981190000005,9
2023-02-09,98854.69119,1505.981190000005,9
2023-02-10,97835.31119000002,1505.981190000005,9
2023-02-13,98036.17119000001,1505.981190000005,9
2023-02-14,99519.99119,1505.981190000005,9
2023-02-15,99327.14119000001,1505.981190000005,9
2023-02-16,100502.75119000001,1505.981190000005,9
2023-02-17,99325.97119000001,1505.981190000005,9
2023-02-21,99262.41119,1505.981190000005,9
2023-02-22,96182.23393000002,28955.76393000001,6
2023-02-23,96162.18393,28955.76393000001,6
2023-02-24,96707.93808,39421.138080000004,5
2023-02-27,96361.94808,39421.138080000004,5
2023-02-28,96208.79808000001,39421.138080000004,5
2023-03-01,96196.33808,39421.138080000004,5
2023-03-02,96046.38808,39421.138080000004,5
2023-03-03,96381.33058000001,886.3405800000119,13
2023-03-06,98446.65058000002,886.3405800000119,13
2023-03-07,98077.38058,886.3405800000119,13
2023-03-08,96558.31058,886.3405800000119,13
2023-03-09,97041.84058000005,886.3405800000119,13
2023-03-10,95110.95058000002,886.3405800000119,13
2023-03-13,93304.44919000001,14364.239190000011,11
2023-03-14,92812.42954000001,23025.219540000013,10
2023-03-15,94385.40954000002,23025.219540000013,10
2023-03-16,92522.45823000002,31458.088230000016,9
2023-03-17,93733.61823000002,31458.088230000016,9
2023-03-20,93231.66823000001,31458.088230000016,9
2023-03-21,94061.90823,31458.088230000016,9
2023-03-22,94547.13823000001,31458.088230000016,9
2023-03-23,93867.94823000002,31458.088230000016,9
2023-03-24,94289.78787000001,41468.427870000014,8
2023-03-27,94081.62787,41468.427870000014,8
2023-03-28,94150.07787000001,41468.427870000014,8
2023-03-29,94034.66787,41468.427870000014,8
2023-03-30,94701.86787000002,41468.427870000014,8
2023-03-31,95246.12787000001,41468.427870000014,8
2023-04-03,96139.06787000003,41468.427870000014,8
