date,nav,cash,num_positions
2023-05-02,99209.68723500009,99209.68723500009,0
2023-05-03,99209.68723500009,99209.68723500009,0
2023-05-04,99209.68723500009,99209.68723500009,0
2023-05-05,99111.36512500013,789.2551250001161,13
2023-05-08,100470.1844150001,100470.1844150001,0
2023-05-09,100470.1844150001,100470.1844150001,0
2023-05-10,100470.1844150001,100470.1844150001,0
2023-05-11,100470.1844150001,100470.1844150001,0
2023-05-12,100370.92617500015,1112.6861750001094,14
2023-05-15,99966.29361500012,99966.29361500012,0
2023-05-16,99966.29361500012,99966.29361500012,0
2023-05-17,99966.29361500012,99966.29361500012,0
2023-05-18,99966.29361500012,99966.29361500012,0
2023-05-19,99867.79501500011,1369.195015000117,15
2023-05-22,99625.70015500012,99625.70015500012,0
2023-05-23,99625.70015500012,99625.70015500012,0
2023-05-24,99625.70015500012,99625.70015500012,0
2023-05-25,99625.70015500012,99625.70015500012,0
2023-05-26,99527.25587500012,1082.9758750001129,14
2023-05-30,102840.1768150001,102840.1768150001,0
2023-05-31,102840.1768150001,102840.1768150001,0
2023-06-01,102840.1768150001,102840.1768150001,0
2023-06-02,102738.79714500009,1359.1271450001109,14
2023-06-05,102933.03156500011,102933.03156500011,0
2023-06-06,102933.03156500011,102933.03156500011,0
2023-06-07,102933.03156500011,102933.03156500011,0
2023-06-08,102933.03156500011,102933.03156500011,0
2023-06-09,102831.19308500012,992.7130850001345,12
2023-06-12,103314.55881500013,103314.55881500013,0
2023-06-13,103314.55881500013,103314.55881500013,0
2023-06-14,103314.55881500013,103314.55881500013,0
2023-06-15,103314.55881500013,103314.55881500013,0
2023-06-16,103212.20945500012,862.8494550001333,11
2023-06-20,102429.61102500012,102429.61102500012,0
2023-06-21,102429.61102500012,102429.61102500012,0
2023-06-22,102429.61102500012,102429.61102500012,0
2023-06-23,102328.29201500013,1009.2820150001276,15
2023-06-26,101574.10652500014,101574.10652500014,0
2023-06-27,101574.10652500014,101574.10652500014,0
2023-06-28,101574.10652500014,101574.10652500014,0
2023-06-29,101574.10652500014,101574.10652500014,0
2023-06-30,101473.72540500016,1092.6054050001494,12
